topic,n
temperature,510
precipitation,451
forest ecology,278
management,241
snow,238
streamflow/stream forecasting,223
water quantity,209
wildfire,117
timber production/silviculture,116
species range shifts,109
pests and disease,96
soils,93
water quality,89
aquatic habitat,81
policy,77
range shifts,72
terrestrial wildlife,61
climate oscilations,59
groundwater,51
river geomorphology and restoration,48
attitudes and beliefs,42
species invasion,41
glaciers,40
dendrochronology,39
community resilience,38
carbon emissions,32
non-anadromous fish,28
agriculture,27
carbon cycle,24
salmon/anadromous fish,23
entomology,17
mathematics,17
salmon,17
lacustrine systems,11
natural disasters,10
alternative energy,7
drought,5
economics,4
carbon sequestration,3
land use,3
air quality,2
amphibians,2
carbon cycling,2
disturbance ecology,2
ecosystem services,2
geology,2
modeling,2
plant ecology,2
population ecology,2
restoration,2
topography,2
wind,2
alpine treeline ecotone,1
animal behavior,1
avalanches,1
biogeochemistry,1
botany,1
carbon stocks,1
climate feedbacks,1
climate variability,1
dams and reservoirs,1
debris flows,1
economic impacts of climate change,1
energy,1
erosion,1
errestrial wildlife,1
floods,1
foliar nutrients,1
forest ecology management,1
fragmentation,1
fspecies range shifts,1
genetic diversity,1
genetics,1
geography,1
geomorphic hazards,1
glacier morphometry,1
indigenous knowledge,1
land cover,1
lichen,1
management.species range shifts,1
microbiology,1
microclimate,1
microclimates and scales,1
microrefugia,1
non-anadromous fish aquatic habitat,1
nutrient cycles,1
old growth,1
pdo,1
persistent organic pollutants,1
phenology,1
plant demography,1
plants,1
pollinator interactions,1
population density and urbanization,1
primarily remote sensing validation study,1
public lands,1
rangeland science,1
recreation,1
remote sensing,1
resilience,1
riparian ecology,1
riparian forest,1
sea level rise,1
seasonal differences,1
seasonality,1
soil,1
soils dendrochronology,1
solar radiation,1
spatial analysis,1
species range shifts management,1
statistics,1
steam temperature,1
sublimation,1
sustainability,1
traditional ecological knowledge,1
traditional phenological knowledge,1
vegetation modeling,1
wetlands/meadows,1
wildfirewildfire,1
wildlife,1
